feature,mean_loss_function_change,median_loss_function_change,std_loss_function_change,min_loss_function_change,max_loss_function_change,positive_folds,nonzero_folds,mean_fold_rank,eligible,selection_reason,selected,selection_rank
load_seasonal_how_30d_mean,1.16554576662,1.14831244712,0.758052028638,0.117218077833,2.36302699188,6,6,2.33333333333,True,eligible,True,1
load_seasonal_how_15d_mean,0.657415521987,0.511707772684,0.548682495463,0.0123978957176,1.44429164069,6,6,5.16666666667,True,eligible,True,2
month,0.29961186138,0.42766251648,0.4245322008,-0.353107479734,0.703247012444,4,6,26,True,eligible,True,3
load_seasonal_daytype_8d_q90,0.299326494064,0.217119606711,0.414662299776,-0.126995003195,0.976035143841,4,6,23.5,True,eligible,True,4
load_seasonal_how_15d_count,-0.291973704025,0.183594683448,1.4374422955,-3.13508136999,0.85807272585,4,6,25.5,True,eligible,True,5
load_seasonal_daytype_8d_q75,0.243935662163,0.097842709763,0.451992465505,-0.12524948499,1.11875432802,4,6,23,True,eligible,True,6
load_yoy_ratio_365d,0.0388695208023,0.089486222997,0.188737211382,-0.294340953172,0.219531185675,4,6,27.8333333333,True,eligible,True,7
seasonal_day_sin,0.0691569380676,0.0847881727683,0.073836333689,-0.0163136116224,0.174206893478,4,6,24.8333333333,True,eligible,True,8
temperature_clim_15d_q10,0.0773491922927,0.074285050694,0.0972272075595,-0.0460295498452,0.20427482648,4,6,27,True,eligible,True,9
temperature_recent_std_7d,-0.0508059325952,0.0326904522299,0.259972942794,-0.563404906088,0.156006205208,4,6,31.1666666667,True,eligible,True,10
load_seasonal_daytype_8d_q25,0.0466414902305,0.0287395241885,0.181160405119,-0.150981870466,0.380111826022,4,6,29.8333333333,True,eligible,True,11
load_seasonal_daytype_8d_q50_scaled_28d,0.0104549421475,0.025366793996,0.088826793243,-0.142481969374,0.121518367209,4,6,32,True,eligible,True,12
load_seasonal_how_15d_std,0.0317319461898,0.0117438457862,0.054027249747,-0.00938141612244,0.138540929885,5,6,24.3333333333,True,eligible,True,13
temperature_clim_15d_hdd65,0.00999283841559,0.00962723625038,0.0123405551496,-0.00386693053555,0.0280663200931,4,6,30.5,True,eligible,True,14
load_seasonal_how_30d_std,0.047594874842,0.00847158666043,0.0966731363747,-0.010622006229,0.242090286506,4,6,26,True,eligible,True,15
temperature_clim_15d_q90,0.0149718297271,0.00617816606142,0.036883077143,-0.0257987712113,0.062632322971,4,6,34,True,eligible,True,16
hour,0.00109262371256,0.00398158573732,0.0374956143241,-0.0468609938914,0.0495294762684,4,6,32.3333333333,True,eligible,True,17
load_seasonal_daytype_8d_q50,0.0731200512572,0.0437546866927,0.121329396797,-0.0607558552174,0.258235229826,3,6,32.5,False,insufficient_positive_folds,False,
load_last_day_same_hour,0.00188637141913,0.0168349027443,0.117976746307,-0.137107960973,0.119573064765,3,6,36,False,insufficient_positive_folds,False,
temperature_clim_15d_temporal_std,0.0226800885815,0.0111444858998,0.0295094700473,-0.00289248592671,0.0595944987489,3,6,30.3333333333,False,insufficient_positive_folds,False,
temperature_recent_mean_1d,0.00692309868044,0.00933502451186,0.051028257623,-0.0714463228952,0.081728447074,3,6,34.3333333333,False,insufficient_positive_folds,False,
load_last_same_hour_of_week_decay_7d,-0.00418229119918,0.00344361099925,0.0360559543683,-0.0501538241554,0.0396516141319,3,6,36.6666666667,False,insufficient_positive_folds,False,
load_lag_calendar_2y,0.0241068620021,0.0028849002117,0.0466309293406,-0.0237004866725,0.0949009999377,3,6,32.8333333333,False,insufficient_positive_folds,False,
temperature_recent_mean_28d,-0.00264709990083,0.00255125110346,0.0682127156772,-0.1144866669,0.0973945015485,3,6,38,False,insufficient_positive_folds,False,
load_seasonal_daytype_8d_count,0.0209930365364,0.00229392594381,0.0640007628599,-0.038846039653,0.131596238159,3,6,33.8333333333,False,insufficient_positive_folds,False,
load_mean_365d,-0.00857400037805,0.00183644587147,0.0448495896954,-0.0917375677611,0.0347435076015,3,6,39.5,False,insufficient_positive_folds,False,
load_std_28d,0.0288725147941,0.000945419279561,0.0650208532167,-0.0176413299903,0.15579531436,3,6,34,False,insufficient_positive_folds,False,
load_annual_anchor_mean,-0.00422999873793,0.000330615091114,0.0315801703549,-0.0553083159759,0.0380582530526,3,6,37.5,False,insufficient_positive_folds,False,
load_annual_anchor_std,0.00238492929475,9.52192719339e-05,0.00434601036331,0,0.0108579282591,3,3,30.9166666667,False,insufficient_positive_folds,False,
temperature_clim_15d_max_station,0.0350155766323,6.35084099092e-05,0.102747220156,-0.0440350820002,0.230564973453,3,6,37,False,insufficient_positive_folds,False,
is_year_end_holiday_period,0.000292581267851,6.74844090387e-06,0.000449583219699,0,0.000929305471667,3,3,31.25,False,insufficient_positive_folds,False,
load_lag_calendar_1y,-0.000341288308939,0,0.00118970662524,-0.00274160682187,0.000443724176119,2,3,34.5,False,non_positive_median,False,
day_of_week,0,0,0,0,0,0,0,35.4166666667,False,non_positive_median,False,
holiday_name,0,0,0,0,0,0,0,35.4166666667,False,non_positive_median,False,
hour_of_week,0,0,0,0,0,0,0,35.4166666667,False,non_positive_median,False,
is_day_before_holiday,0,0,0,0,0,0,0,35.4166666667,False,non_positive_median,False,
is_day_after_holiday,-0.000489582368085,0,0.00261944071347,-0.0055835184236,0.00205413917163,2,3,35.6666666667,False,non_positive_median,False,
load_how_std_12w,-0.000139130183646,0,0.000482850668353,-0.00110055866481,0.000265777562937,1,2,36.3333333333,False,non_positive_median,False,
load_seasonal_daytype_8d_q50_shifted_28d,0.00236307746708,0,0.0118218084648,-0.00719947955194,0.0252894409236,2,4,36.4166666667,False,non_positive_median,False,
load_last_same_hour_of_week,-0.000943579738284,0,0.00639947736555,-0.0100432837807,0.00866733666612,2,4,36.5833333333,False,non_positive_median,False,
hour_cos,-0.00032226006471,0,0.000776616461711,-0.00190737762431,0,0,2,37.6666666667,False,non_positive_median,False,
temperature_clim_15d_station_std,-0.0013874521048,0,0.00339854969932,-0.00832471262881,0,0,1,37.75,False,non_positive_median,False,
is_holiday,-0.000170489004816,0,0.000361764814352,-0.000902344805681,0,0,2,38.1666666667,False,non_positive_median,False,
is_working_day,-0.00089476699745,0,0.00181688981592,-0.00454146916719,0,0,2,38.4166666667,False,non_positive_median,False,
load_how_mean_12w,-0.00483626430776,0,0.0118463798153,-0.0290175858466,0,0,1,38.4166666667,False,non_positive_median,False,
hour_sin,-0.00347757773945,0,0.00807270047164,-0.0198657331586,0.000776193486056,1,3,38.9166666667,False,non_positive_median,False,
temperature_clim_15d_cdd65,0.071239104031,-0.000795272936374,0.135585999816,-0.026486145854,0.316659473925,3,6,32,False,non_positive_median,False,
load_lag_728d,-0.00329547034835,-0.00105102734803,0.00560961002224,-0.0144960834941,0,0,4,43.0833333333,False,non_positive_median,False,
load_lag_364d,-0.0230149671789,-0.0010552526998,0.06371304735,-0.15018649774,0.0240967830923,2,5,39.5833333333,False,non_positive_median,False,
temperature_clim_15d_mean,0.000850368331587,-0.00114348056939,0.0515761401406,-0.0747434115867,0.085048919226,3,6,37,False,non_positive_median,False,
is_weekend,-0.00167393036566,-0.00147136850783,0.00217598248457,-0.00463856545005,0.000676653989048,1,4,38.9166666667,False,non_positive_median,False,
load_how_mean_4w,-0.00111202217327,-0.00183770280481,0.0153703708907,-0.0264189324619,0.0201625730742,2,5,35.9166666667,False,non_positive_median,False,
temperature_clim_15d_min_station,-0.004677847155,-0.00355718606788,0.0943112292841,-0.116277133763,0.159305177408,3,6,42.5,False,non_positive_median,False,
forecast_week,-0.0324106011115,-0.00429394165374,0.0903593665041,-0.21386328456,0.0268927029732,2,6,41.5,False,non_positive_median,False,
load_seasonal_level_delta_28d,-0.0252921241613,-0.00440138341409,0.0597636530838,-0.14517896638,0.018101931197,1,6,48,False,non_positive_median,False,
load_daily_slope_28d,-0.0128289284001,-0.005059402776,0.0444206065858,-0.0935916130985,0.0319767272593,2,6,42.8333333333,False,non_positive_median,False,
load_seasonal_daytype_8d_q10,0.0519175237969,-0.0071730682355,0.179053595114,-0.129421028302,0.356631570465,3,6,37.8333333333,False,non_positive_median,False,
temperature_recent_mean_7d,-0.0215206765979,-0.00730652588888,0.121970920668,-0.212798527094,0.162332130677,2,6,42.8333333333,False,non_positive_median,False,
horizon_hours,0.000636218761292,-0.0096711681499,0.0406755730188,-0.0379918657749,0.0682857411906,3,6,37.3333333333,False,non_positive_median,False,
load_mean_7d_minus_28d,-0.0310499021862,-0.0106590676201,0.0624003822834,-0.155262712367,0.0107875248482,2,6,44.3333333333,False,non_positive_median,False,
