origin,feature,loss_function_change
2010-01-01,day_of_week,0
2010-01-01,forecast_week,-0.21386328456
2010-01-01,holiday_name,0
2010-01-01,horizon_hours,-0.0259223460385
2010-01-01,hour,0.00118162072528
2010-01-01,hour_cos,-2.61827639498e-05
2010-01-01,hour_of_week,0
2010-01-01,hour_sin,-0.00177592676417
2010-01-01,is_day_after_holiday,0.000591885043455
2010-01-01,is_day_before_holiday,0
2010-01-01,is_holiday,0
2010-01-01,is_weekend,-0.00463856545005
2010-01-01,is_working_day,-0.00454146916719
2010-01-01,is_year_end_holiday_period,0
2010-01-01,load_annual_anchor_mean,-0.00830160635229
2010-01-01,load_annual_anchor_std,0.00326120896552
2010-01-01,load_daily_slope_28d,0.0196821645928
2010-01-01,load_how_mean_12w,0
2010-01-01,load_how_mean_4w,-0.00408641155479
2010-01-01,load_how_std_12w,0
2010-01-01,load_lag_364d,0.00699043115872
2010-01-01,load_lag_728d,-0.0144960834941
2010-01-01,load_lag_calendar_1y,0.00025015279212
2010-01-01,load_lag_calendar_2y,-0.00124943727252
2010-01-01,load_last_day_same_hour,-0.0533679323932
2010-01-01,load_last_day_same_hour_decay_2d,-0.218196563125
2010-01-01,load_last_same_hour_of_week,0.00866733666612
2010-01-01,load_last_same_hour_of_week_decay_7d,-0.0441565763239
2010-01-01,load_mean_28d,0.0243627101015
2010-01-01,load_mean_28d_minus_90d,-0.159769058935
2010-01-01,load_mean_365d,-0.014647400214
2010-01-01,load_mean_7d,0.0903507687124
2010-01-01,load_mean_7d_minus_28d,-0.0168061316853
2010-01-01,load_mean_90d,-0.0444804812862
2010-01-01,load_seasonal_daytype_8d_count,0.131596238159
2010-01-01,load_seasonal_daytype_8d_q10,-0.129421028302
2010-01-01,load_seasonal_daytype_8d_q25,-0.150981870466
2010-01-01,load_seasonal_daytype_8d_q50,0.0917065757124
2010-01-01,load_seasonal_daytype_8d_q50_scaled_28d,0.0283148468737
2010-01-01,load_seasonal_daytype_8d_q50_shifted_28d,0
2010-01-01,load_seasonal_daytype_8d_q75,-0.0166968032486
2010-01-01,load_seasonal_daytype_8d_q90,-0.0493565766588
2010-01-01,load_seasonal_how_15d_count,0.367899946872
2010-01-01,load_seasonal_how_15d_mean,0.398959638729
2010-01-01,load_seasonal_how_15d_std,0.138540929885
2010-01-01,load_seasonal_how_30d_mean,0.702471894772
2010-01-01,load_seasonal_how_30d_std,0.242090286506
2010-01-01,load_seasonal_level_delta_28d,-0.14517896638
2010-01-01,load_seasonal_level_ratio_28d,-0.0274822451636
2010-01-01,load_std_28d,-0.00360848414363
2010-01-01,load_yoy_ratio_28d,0.0410493063206
2010-01-01,load_yoy_ratio_365d,0.121056498608
2010-01-01,month,0.343815935498
2010-01-01,seasonal_day_cos,-0.0487605406482
2010-01-01,seasonal_day_sin,0.0892035057883
2010-01-01,temperature_clim_15d_cdd65,-0.026486145854
2010-01-01,temperature_clim_15d_hdd65,0.0280663200931
2010-01-01,temperature_clim_15d_max_station,-0.0360026409519
2010-01-01,temperature_clim_15d_mean,-0.0747434115867
2010-01-01,temperature_clim_15d_min_station,-0.116277133763
2010-01-01,temperature_clim_15d_q10,0.20427482648
2010-01-01,temperature_clim_15d_q90,0.000542119482407
2010-01-01,temperature_clim_15d_station_std,0
2010-01-01,temperature_clim_15d_temporal_std,0.0580972264532
2010-01-01,temperature_recent_anomaly_7d,-0.026743900259
2010-01-01,temperature_recent_anomaly_7d_decay_14d,0.714541718503
2010-01-01,temperature_recent_mean_1d,-0.0714463228952
2010-01-01,temperature_recent_mean_28d,-0.1144866669
2010-01-01,temperature_recent_mean_7d,-0.0729708383716
2010-01-01,temperature_recent_std_7d,0.0592987833033
2010-03-01,day_of_week,0
2010-03-01,forecast_week,-0.00437207715289
2010-03-01,holiday_name,0
2010-03-01,horizon_hours,0.0682857411906
2010-03-01,hour,-0.0361843646299
2010-03-01,hour_cos,0
2010-03-01,hour_of_week,0
2010-03-01,hour_sin,0
2010-03-01,is_day_after_holiday,0.00205413917163
2010-03-01,is_day_before_holiday,0
2010-03-01,is_holiday,0
2010-03-01,is_weekend,-0.00294273701565
2010-03-01,is_working_day,0
2010-03-01,is_year_end_holiday_period,0
2010-03-01,load_annual_anchor_mean,0.00972110074347
2010-03-01,load_annual_anchor_std,0.0108579282591
2010-03-01,load_daily_slope_28d,-0.0249220436019
2010-03-01,load_how_mean_12w,-0.0290175858466
2010-03-01,load_how_mean_4w,-0.0264189324619
2010-03-01,load_how_std_12w,0
2010-03-01,load_lag_364d,-0.15018649774
2010-03-01,load_lag_728d,-0.00317468389998
2010-03-01,load_lag_calendar_1y,-0.00274160682187
2010-03-01,load_lag_calendar_2y,0.0689202955963
2010-03-01,load_last_day_same_hour,0.111789511435
2010-03-01,load_last_day_same_hour_decay_2d,-0.0148950186301
2010-03-01,load_last_same_hour_of_week,-0.00567373194081
2010-03-01,load_last_same_hour_of_week_decay_7d,0.0226778171538
2010-03-01,load_mean_28d,-0.0388560247407
2010-03-01,load_mean_28d_minus_90d,-0.19005646181
2010-03-01,load_mean_365d,0.0347435076015
2010-03-01,load_mean_7d,-0.0798046337487
2010-03-01,load_mean_7d_minus_28d,-0.155262712367
2010-03-01,load_mean_90d,0.0690530116542
2010-03-01,load_seasonal_daytype_8d_count,-0.038846039653
2010-03-01,load_seasonal_daytype_8d_q10,0.356631570465
2010-03-01,load_seasonal_daytype_8d_q25,0.0362146443099
2010-03-01,load_seasonal_daytype_8d_q50,0.258235229826
2010-03-01,load_seasonal_daytype_8d_q50_scaled_28d,-0.142481969374
2010-03-01,load_seasonal_daytype_8d_q50_shifted_28d,0
2010-03-01,load_seasonal_daytype_8d_q75,0.291120513676
2010-03-01,load_seasonal_daytype_8d_q90,0.562036186974
2010-03-01,load_seasonal_how_15d_count,-3.13508136999
2010-03-01,load_seasonal_how_15d_mean,1.17433156638
2010-03-01,load_seasonal_how_15d_std,0.032344140037
2010-03-01,load_seasonal_how_30d_mean,1.51393274097
2010-03-01,load_seasonal_how_30d_std,-0.000227782459175
2010-03-01,load_seasonal_level_delta_28d,0.018101931197
2010-03-01,load_seasonal_level_ratio_28d,0.0292314705329
2010-03-01,load_std_28d,0.15579531436
2010-03-01,load_yoy_ratio_28d,-0.0699120281406
2010-03-01,load_yoy_ratio_365d,-0.294340953172
2010-03-01,month,0.703247012444
2010-03-01,seasonal_day_cos,0.0700624667239
2010-03-01,seasonal_day_sin,0.103310338128
2010-03-01,temperature_clim_15d_cdd65,0.145982596803
2010-03-01,temperature_clim_15d_hdd65,-0.00386693053555
2010-03-01,temperature_clim_15d_max_station,0.0103831168269
2010-03-01,temperature_clim_15d_mean,0.085048919226
2010-03-01,temperature_clim_15d_min_station,0.0101764262333
2010-03-01,temperature_clim_15d_q10,0.0709746116594
2010-03-01,temperature_clim_15d_q90,0.062632322971
2010-03-01,temperature_clim_15d_station_std,-0.00832471262881
2010-03-01,temperature_clim_15d_temporal_std,0.0224535440643
2010-03-01,temperature_recent_anomaly_7d,0.049910705055
2010-03-01,temperature_recent_anomaly_7d_decay_14d,-0.978950175497
2010-03-01,temperature_recent_mean_1d,-0.0037009484514
2010-03-01,temperature_recent_mean_28d,0.0973945015485
2010-03-01,temperature_recent_mean_7d,0.162332130677
2010-03-01,temperature_recent_std_7d,0.07945772285
2010-05-01,day_of_week,0
2010-05-01,forecast_week,0.0182752119437
2010-05-01,holiday_name,0
2010-05-01,horizon_hours,0.00658000973872
2010-05-01,hour,0.00678155074937
2010-05-01,hour_cos,0
2010-05-01,hour_of_week,0
2010-05-01,hour_sin,0.000776193486056
2010-05-01,is_day_after_holiday,0
2010-05-01,is_day_before_holiday,0
2010-05-01,is_holiday,0
2010-05-01,is_weekend,-0.0031389337173
2010-05-01,is_working_day,-0.000827132817511
2010-05-01,is_year_end_holiday_period,1.34968818077e-05
2010-05-01,load_annual_anchor_mean,0.0380582530526
2010-05-01,load_annual_anchor_std,0
2010-05-01,load_daily_slope_28d,0.0319767272593
2010-05-01,load_how_mean_12w,0
2010-05-01,load_how_mean_4w,0
2010-05-01,load_how_std_12w,0
2010-05-01,load_lag_364d,0.0240967830923
2010-05-01,load_lag_728d,0
2010-05-01,load_lag_calendar_1y,0
2010-05-01,load_lag_calendar_2y,-0.0237004866725
2010-05-01,load_last_day_same_hour,-0.116606192201
2010-05-01,load_last_day_same_hour_decay_2d,0.0372535145794
2010-05-01,load_last_same_hour_of_week,-0.0100432837807
2010-05-01,load_last_same_hour_of_week_decay_7d,0.0396516141319
2010-05-01,load_mean_28d,0.0556720337773
2010-05-01,load_mean_28d_minus_90d,-0.31159503321
2010-05-01,load_mean_365d,-0.0917375677611
2010-05-01,load_mean_7d,-0.00882420608828
2010-05-01,load_mean_7d_minus_28d,0.00583549805852
2010-05-01,load_mean_90d,-0.0556435358988
2010-05-01,load_seasonal_daytype_8d_count,0.0176275549477
2010-05-01,load_seasonal_daytype_8d_q10,0.0244952580978
2010-05-01,load_seasonal_daytype_8d_q25,0.0601848313592
2010-05-01,load_seasonal_daytype_8d_q50,-0.00419720232711
2010-05-01,load_seasonal_daytype_8d_q50_scaled_28d,0.0224187411183
2010-05-01,load_seasonal_daytype_8d_q50_shifted_28d,-0.00719947955194
2010-05-01,load_seasonal_daytype_8d_q75,-0.12524948499
2010-05-01,load_seasonal_daytype_8d_q90,-0.126995003195
2010-05-01,load_seasonal_how_15d_count,0.0594221816854
2010-05-01,load_seasonal_how_15d_mean,0.0123978957176
2010-05-01,load_seasonal_how_15d_std,0.0130617992131
2010-05-01,load_seasonal_how_30d_mean,1.19222880737
2010-05-01,load_seasonal_how_30d_std,0.0373855779135
2010-05-01,load_seasonal_level_delta_28d,-0.015796697431
2010-05-01,load_seasonal_level_ratio_28d,-0.0334094707049
2010-05-01,load_std_28d,-0.00534606516802
2010-05-01,load_yoy_ratio_28d,-0.103061662128
2010-05-01,load_yoy_ratio_365d,0.0579159473858
2010-05-01,month,-0.353107479734
2010-05-01,seasonal_day_cos,-0.0260857621841
2010-05-01,seasonal_day_sin,-0.0158383371156
2010-05-01,temperature_clim_15d_cdd65,-0.00713075481532
2010-05-01,temperature_clim_15d_hdd65,0.0132450186758
2010-05-01,temperature_clim_15d_max_station,-0.0440350820002
2010-05-01,temperature_clim_15d_mean,0.00712255777914
2010-05-01,temperature_clim_15d_min_station,-0.0741571806717
2010-05-01,temperature_clim_15d_q10,-0.0460295498452
2010-05-01,temperature_clim_15d_q90,-0.0257987712113
2010-05-01,temperature_clim_15d_station_std,0
2010-05-01,temperature_clim_15d_temporal_std,-0.00289248592671
2010-05-01,temperature_recent_anomaly_7d,-0.0758622303048
2010-05-01,temperature_recent_anomaly_7d_decay_14d,-0.205983722385
2010-05-01,temperature_recent_mean_1d,-0.0152649388832
2010-05-01,temperature_recent_mean_28d,0.0150902779392
2010-05-01,temperature_recent_mean_7d,-0.0102424555099
2010-05-01,temperature_recent_std_7d,0.156006205208
2010-07-01,day_of_week,0
2010-07-01,forecast_week,-0.00421580615459
2010-07-01,holiday_name,0
2010-07-01,horizon_hours,-0.0379918657749
2010-07-01,hour,0.0321084530536
2010-07-01,hour_cos,-0.00190737762431
2010-07-01,hour_of_week,0
2010-07-01,hour_sin,0
2010-07-01,is_day_after_holiday,0
2010-07-01,is_day_before_holiday,0
2010-07-01,is_holiday,-0.000120589223213
2010-07-01,is_weekend,0.000676653989048
2010-07-01,is_working_day,0
2010-07-01,is_year_end_holiday_period,0.000929305471667
2010-07-01,load_annual_anchor_mean,-0.01851226043
2010-07-01,load_annual_anchor_std,0
2010-07-01,load_daily_slope_28d,-0.0935916130985
2010-07-01,load_how_mean_12w,0
2010-07-01,load_how_mean_4w,-0.00367540560961
2010-07-01,load_how_std_12w,0.000265777562937
2010-07-01,load_lag_364d,-0.0168800141848
2010-07-01,load_lag_728d,0
