stage,origin,feature_count,training_rows,evaluation_rows,fit_seconds,importance_seconds,baseline_pinball_loss,pinball_loss,median_mae,median_bias,coverage_90,mean_width_90,invalid_90_intervals,mean_absolute_calibration_error,quantile_crossings
screening,2010-01-01,70,26304,744,19.988903042,0.159693666,21.02048069,17.7720725635,48.2562145254,26.6133614692,0.619623655914,104.862028905,0,0.142192896709,160
screening,2010-03-01,70,27720,744,21.225468541,0.164527625,6.757414947,10.3775303239,27.6827099639,-22.7586123393,0.547043010753,88.6168058841,0,0.291748126426,668
screening,2010-05-01,70,29184,744,22.05403725,0.155047208,7.10266967,6.28005856116,16.6530973454,11.9753119475,0.75,40.9230199369,0,0.128190507223,357
screening,2010-07-01,70,30648,744,23.12676975,0.155957042,10.77537067,9.09531821468,24.6917370463,7.48020385694,0.720430107527,73.0231862075,0,0.111651460845,8
screening,2010-09-01,70,32136,720,24.622860375,0.14550675,7.706400278,6.08260176849,16.8538599325,5.23196305483,0.873611111111,60.5637731629,0,0.0412177328844,62
screening,2010-11-01,70,33600,720,24.972399,0.142907,5.645941032,6.11247701104,16.6222856333,-7.54035545784,0.793055555556,69.9475933024,0,0.144514590348,17
verification,2010-02-01,17,27048,672,9.847757583,0,13.85334823,8.09331647171,21.994826146,2.4729256901,0.946428571429,113.309244851,0,0.0589754689755,307
verification,2010-04-01,17,28464,720,10.220685459,0,3.642027459,3.53030698413,9.2331173169,0.533885472452,0.863888888889,44.9474269958,0,0.0711223344557,961
verification,2010-06-01,17,29928,720,11.306962833,0,13.70310638,10.9625631179,30.0476419218,26.3789618222,0.608333333333,69.7747663975,0,0.308193041526,314
verification,2010-08-01,17,31392,744,11.145940042,0,6.574447448,5.80191838796,15.982978509,-4.191674905,0.938172043011,75.2035635087,0,0.0469398283914,0
verification,2010-10-01,17,32856,744,11.821896542,0,3.510557406,4.95491316747,13.3696072969,-8.55677192472,0.766129032258,53.8246334445,0,0.221624850657,127
verification,2010-12-01,17,34320,744,12.275128792,0,21.20801128,17.8786242678,47.0691699994,43.8455581774,0.512096774194,90.581649699,0,0.359239165852,0
