model,nominal_coverage,empirical_coverage,coverage_error,absolute_coverage_error,mean_width
CatBoost round 2,0.5,0.4433789954,-0.05662100457,0.05662100457,34.64633609
CatBoost round 2,0.8,0.7026255708,-0.09737442922,0.09737442922,63.55067914
CatBoost round 2,0.9,0.8182648402,-0.08173515982,0.08173515982,80.95622411
CatBoost round 2,0.98,0.9323059361,-0.04769406393,0.04769406393,109.4058693
CatBoost round 1,0.5,0.3613013699,-0.1386986301,0.1386986301,29.75719494
CatBoost round 1,0.8,0.6103881279,-0.1896118721,0.1896118721,56.20683609
CatBoost round 1,0.9,0.7294520548,-0.1705479452,0.1705479452,71.26796557
CatBoost round 1,0.98,0.8616438356,-0.1183561644,0.1183561644,96.06963211
Seasonal empirical,0.5,0.4229452055,-0.07705479452,0.07705479452,33.31898973
Seasonal empirical,0.8,0.6804794521,-0.1195205479,0.1195205479,61.08717808
Seasonal empirical,0.9,0.7776255708,-0.1223744292,0.1223744292,75.59030879
Seasonal empirical,0.98,0.8703196347,-0.1096803653,0.1096803653,95.42314053
Seasonal naive,0.5,0.001598173516,-0.4984018265,0.4984018265,0
Seasonal naive,0.8,0.001598173516,-0.7984018265,0.7984018265,0
Seasonal naive,0.9,0.001598173516,-0.8984018265,0.8984018265,0
Seasonal naive,0.98,0.001598173516,-0.9784018265,0.9784018265,0
