candidate,depth,learning_rate,l2_leaf_reg,iterations,folds,forecast_hours,pinball_loss,baseline_pinball_loss,pinball_difference,relative_improvement,fold_pinball_mean,fold_pinball_std,median_mae,median_bias,coverage_90,mean_width_90,invalid_90_intervals,mean_absolute_calibration_error,quantile_crossings,fit_seconds
depth3_lr0p08_l25_trees125,3,0.08,5,125,12,8760,8.3726730589,10.1211932064,-1.74852014754,0.172758301504,8.34767597747,4.41997750749,22.9974997698,4.35841261618,0.818264840183,80.9562241056,0,0.133534938425,2849,114.942289707
depth3_lr0p08_l21_trees125,3,0.08,1,125,12,8760,8.3745503352,10.1211932064,-1.74664287125,0.172572821763,8.34913413921,4.4142636027,22.9454349426,3.99724776247,0.819178082192,80.6683083821,0,0.135042710207,2453,114.943969791
depth4_lr0p08_l25_trees100,4,0.08,5,100,12,8760,8.39339196554,10.1211932064,-1.72780124091,0.170711220077,8.36837983235,4.53261183118,23.0117072146,5.69019663746,0.799200913242,77.522181571,0,0.124990775333,1945,132.598850291
depth4_lr0p08_l220_trees75,4,0.08,20,75,12,8760,8.406548206,10.1211932064,-1.71464500044,0.169411349578,8.3882394873,4.473721983,23.2113290716,6.94895732312,0.830936073059,80.8282401596,0,0.123798441031,1225,130.236588707
depth4_lr0p08_l220_trees100,4,0.08,20,100,12,8760,8.40893504151,10.1211932064,-1.71225816494,0.169175524072,8.38658245166,4.53080808152,23.1199262291,5.97693505951,0.811187214612,78.3771151233,0,0.129924680596,2325,130.236588707
depth3_lr0p08_l21_trees100,3,0.08,1,100,12,8760,8.41623040899,10.1211932064,-1.70496279745,0.168454722944,8.39316879467,4.40558797504,23.2729059931,5.44627216215,0.829223744292,82.4241958334,0,0.129954845256,1158,114.943969791
depth4_lr0p08_l25_trees75,4,0.08,5,75,12,8760,8.43531509992,10.1211932064,-1.68587810652,0.166569106244,8.41752072255,4.4575440774,23.2873526696,6.6623039947,0.823059360731,80.4955698546,0,0.125178128315,706,132.598850291
depth3_lr0p08_l220_trees125,3,0.08,20,125,12,8760,8.46065203879,10.1211932064,-1.66054116765,0.164065751318,8.43789922014,4.4305325666,23.1983017396,4.23837381224,0.813926940639,80.4398051606,0,0.1386283843,2061,114.275080793
depth4_lr0p08_l220_trees125,4,0.08,20,125,12,8760,8.48305959027,10.1211932064,-1.63813361618,0.161851827424,8.4544140528,4.61599025054,23.1121444151,4.6200179629,0.781849315068,74.8914685274,0,0.137135602601,4292,130.236588707
depth3_lr0p08_l220_trees100,3,0.08,20,100,12,8760,8.52853528072,10.1211932064,-1.59265792572,0.157358711887,8.51534184686,4.39323679601,24.0055218052,6.82938563242,0.830251141553,82.9384441474,0,0.131256168996,1032,114.275080793
