base_candidate,candidate,origin,depth,learning_rate,l2_leaf_reg,max_iterations,iterations,training_rows,evaluation_rows,fit_seconds,prediction_seconds,pinball_loss,baseline_pinball_loss,pinball_difference,median_mae,median_bias,coverage_90,mean_width_90,invalid_90_intervals,mean_absolute_calibration_error,quantile_crossings
depth3_lr0p08_l21,depth3_lr0p08_l21_trees75,2010-01-01,3,0.08,1,125,75,26304,744,9.156013833,0.00389125,16.4185130281,21.02048069,-4.60196766193,45.2924489223,11.3454332081,0.659946236559,107.39798726,0,0.103103073748,0
depth3_lr0p08_l21,depth3_lr0p08_l21_trees100,2010-01-01,3,0.08,1,125,100,26304,744,9.156013833,0.001757167,16.3816228328,21.02048069,-4.63885785724,45.2057203371,9.80469672063,0.647849462366,106.981257082,0,0.103227978712,0
depth3_lr0p08_l21,depth3_lr0p08_l21_trees125,2010-01-01,3,0.08,1,125,125,26304,744,9.156013833,0.001696334,16.4098722561,21.02048069,-4.6106084339,45.3841555563,7.72240371987,0.646505376344,107.033961345,0,0.104700228087,0
depth3_lr0p08_l21,depth3_lr0p08_l21_trees75,2010-02-01,3,0.08,1,125,75,27048,672,8.498794125,0.001648625,9.99749458878,13.85334823,-3.85585364122,32.5677085423,29.0401240601,0.971726190476,129.627352133,0,0.160794252044,6
depth3_lr0p08_l21,depth3_lr0p08_l21_trees100,2010-02-01,3,0.08,1,125,100,27048,672,8.498794125,0.001523042,8.26378619527,13.85334823,-5.58956203473,23.6094794227,13.7960357309,0.971726190476,121.365652011,0,0.0965253727754,178
depth3_lr0p08_l21,depth3_lr0p08_l21_trees125,2010-02-01,3,0.08,1,125,125,27048,672,8.498794125,0.001677417,8.0782657218,13.85334823,-5.7750825082,20.9845732513,3.20428247552,0.941964285714,114.030748691,0,0.0874037999038,874
depth3_lr0p08_l21,depth3_lr0p08_l21_trees75,2010-03-01,3,0.08,1,125,75,27720,744,8.848494375,0.012223375,8.5529859135,6.757414947,1.7955709665,23.900523684,-12.6108250825,0.708333333333,86.3208403092,0,0.203622243945,16
depth3_lr0p08_l21,depth3_lr0p08_l21_trees100,2010-03-01,3,0.08,1,125,100,27720,744,8.848494375,0.001631542,8.50445864148,6.757414947,1.74704369448,23.7628419875,-12.2124079903,0.688172043011,84.7872103823,0,0.203676550451,76
depth3_lr0p08_l21,depth3_lr0p08_l21_trees125,2010-03-01,3,0.08,1,125,125,27720,744,8.848494375,0.001843291,8.23156644402,6.757414947,1.47415149702,22.8407058747,-9.95152791074,0.684139784946,83.9724193415,0,0.19164765939,326
depth3_lr0p08_l21,depth3_lr0p08_l21_trees75,2010-04-01,3,0.08,1,125,75,28464,720,8.879646167,0.00167025,3.92209845342,3.642027459,0.280070994422,10.4567020536,-2.89624187515,0.923611111111,53.1505089064,0,0.127847923681,185
depth3_lr0p08_l21,depth3_lr0p08_l21_trees100,2010-04-01,3,0.08,1,125,100,28464,720,8.879646167,0.001533667,3.78288356138,3.642027459,0.140856102384,10.1014194055,-2.06153660634,0.908333333333,49.932488503,0,0.110412457912,644
depth3_lr0p08_l21,depth3_lr0p08_l21_trees125,2010-04-01,3,0.08,1,125,125,28464,720,8.879646167,0.001695333,3.75221216348,3.642027459,0.110184704478,9.99102940759,-1.76252187276,0.901388888889,49.2777939999,0,0.106632996633,857
depth3_lr0p08_l21,depth3_lr0p08_l21_trees75,2010-05-01,3,0.08,1,125,75,29184,744,9.157152708,0.008201792,5.81462720029,7.10266967,-1.28804246971,16.3594951766,3.24342088196,0.900537634409,64.0195777876,0,0.043513630933,37
depth3_lr0p08_l21,depth3_lr0p08_l21_trees100,2010-05-01,3,0.08,1,125,100,29184,744,9.157152708,0.001601458,5.85606615739,7.10266967,-1.24660351261,16.6396958852,2.01526528436,0.880376344086,62.5010544009,0,0.0566873031389,149
depth3_lr0p08_l21,depth3_lr0p08_l21_trees125,2010-05-01,3,0.08,1,125,125,29184,744,9.157152708,0.001951125,5.85989667089,7.10266967,-1.24277299911,16.6480433761,2.10272857968,0.862903225806,59.9867216604,0,0.0633794938634,201
depth3_lr0p08_l21,depth3_lr0p08_l21_trees75,2010-06-01,3,0.08,1,125,75,29928,720,9.184171917,0.001590417,9.59916623984,13.70310638,-4.10394014016,27.7540435092,22.3627898916,0.85,85.5818940182,0,0.249116161616,0
