station,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
w1,1.000000,0.939621,0.944913,0.965729,0.958524,0.929493,0.942686,0.960084,0.914881,0.958347,0.957890,0.962814,0.958237,0.884952,0.961987,0.945251,0.961725,0.921153,0.948428,0.944845,0.913196,0.950404,0.968097,0.964088,0.956831
w2,0.939621,1.000000,0.918003,0.938467,0.938892,0.969443,0.965911,0.939865,0.907687,0.971596,0.949398,0.953498,0.954619,0.915615,0.965378,0.953738,0.938075,0.944009,0.935646,0.959471,0.956583,0.977863,0.963601,0.968159,0.980312
w3,0.944913,0.918003,1.000000,0.966422,0.924740,0.911933,0.922259,0.926629,0.950144,0.936019,0.959831,0.953114,0.934848,0.872440,0.949189,0.924989,0.964189,0.904793,0.960131,0.924969,0.899759,0.928656,0.944942,0.950412,0.935524
w4,0.965729,0.938467,0.966422,1.000000,0.942221,0.930824,0.939703,0.944892,0.944663,0.957525,0.981049,0.978269,0.955370,0.890079,0.972722,0.942850,0.985476,0.922465,0.967998,0.942719,0.919342,0.947971,0.967333,0.973928,0.956839
w5,0.958524,0.938892,0.924740,0.942221,1.000000,0.934284,0.956794,0.986939,0.893166,0.958179,0.934074,0.940204,0.948248,0.897235,0.945116,0.965791,0.937917,0.936605,0.923810,0.960868,0.912235,0.950311,0.958175,0.948948,0.953019
w6,0.929493,0.969443,0.911933,0.930824,0.934284,1.000000,0.973916,0.934006,0.905507,0.965502,0.941549,0.942480,0.944787,0.953840,0.955863,0.960155,0.925549,0.966742,0.929300,0.965449,0.978837,0.970339,0.952648,0.957569,0.970416
w7,0.942686,0.965911,0.922259,0.939703,0.956794,0.973916,1.000000,0.954183,0.901911,0.977991,0.941465,0.946340,0.943518,0.941461,0.957466,0.982529,0.936620,0.975161,0.928868,0.990255,0.950943,0.977893,0.965248,0.960544,0.974973
w8,0.960084,0.939865,0.926629,0.944892,0.986939,0.934006,0.954183,1.000000,0.900274,0.960541,0.939811,0.944382,0.951904,0.896705,0.948536,0.961334,0.939947,0.934304,0.928719,0.957468,0.915180,0.952196,0.960417,0.953040,0.954515
w9,0.914881,0.907687,0.950144,0.944663,0.893166,0.905507,0.901911,0.900274,1.000000,0.917400,0.954849,0.940452,0.925096,0.877603,0.936054,0.903077,0.936311,0.897496,0.949806,0.902860,0.903809,0.915089,0.920799,0.935944,0.918308
w10,0.958347,0.971596,0.936019,0.957525,0.958179,0.965502,0.977991,0.960541,0.917400,1.000000,0.960958,0.964251,0.959531,0.918752,0.973616,0.970471,0.953791,0.954018,0.945171,0.974893,0.947943,0.983608,0.980963,0.978142,0.985486
w11,0.957890,0.949398,0.959831,0.981049,0.934074,0.941549,0.941465,0.939811,0.954849,0.960958,1.000000,0.980860,0.966786,0.900233,0.981980,0.939882,0.972852,0.927137,0.978553,0.941160,0.938061,0.955423,0.967308,0.982581,0.964053
w12,0.962814,0.953498,0.953114,0.978269,0.940204,0.942480,0.946340,0.944382,0.940452,0.964251,0.980860,1.000000,0.961380,0.898472,0.981341,0.945938,0.973676,0.928532,0.965608,0.947270,0.930646,0.960157,0.973739,0.981732,0.966945
w13,0.958237,0.954619,0.934848,0.955370,0.948248,0.944787,0.943518,0.951904,0.925096,0.959531,0.966786,0.961380,1.000000,0.901189,0.970357,0.939931,0.949877,0.927374,0.954173,0.940620,0.938644,0.957223,0.961610,0.972464,0.965081
